date,spot_ret_0,spot_ret_1,spot_ret_2,spot_ret_3,spot_ret_4,spot_ret_5,rate_diff_0,rate_diff_1,rate_diff_2,rate_diff_3,rate_diff_4,rate_diff_5
2015-01-02,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0600000000,0.0400000000,0.0250000000,0.0100000000,-0.0050000000,-0.0200000000
2015-01-05,-0.0014795432,0.0001913881,0.0012566949,-0.0034640924,0.0056830254,-0.0010585683,0.0598709188,0.0397962131,0.0249938074,0.0095884955,-0.0047023008,-0.0196116080
2015-01-06,-0.0041958051,0.0017979792,-0.0046994530,-0.0049081498,0.0049771048,-0.0009239300,0.0602634067,0.0400841973,0.0248974811,0.0098979186,-0.0050512731,-0.0190366531
2015-01-07,0.0045837700,-0.0014673639,0.0003350313,0.0040000375,-0.0001970606,-0.0032334294,0.0601462500,0.0398280170,0.0252312728,0.0101302762,-0.0048163794,-0.0184929476
2015-01-08,-0.0016239506,0.0033304707,-0.0015927710,0.0022155873,-0.0012401090,0.0004349759,0.0599947919,0.0398570069,0.0261045815,0.0103790812,-0.0047333401,-0.0178269672
2015-01-09,0.0036636410,-0.0049342736,-0.0005532062,-0.0017652661,-0.0036895924,0.0005032575,0.0597887182,0.0402007002,0.0260805327,0.0109731458,-0.0047652630,-0.0180684499
2015-01-12,0.0001922693,-0.0051035847,0.0019698087,-0.0060796561,0.0045316822,0.0022537806,0.0593344723,0.0402277707,0.0257342464,0.0111718725,-0.0040055909,-0.0180989435
2015-01-13,0.0039161282,-0.0001406096,0.0033366323,-0.0040824621,-0.0064900675,-0.0024309122,0.0603563236,0.0403860414,0.0260704666,0.0116008850,-0.0045808833,-0.0185840888
2015-01-14,0.0011455529,0.0001430027,0.0060745480,-0.0037062442,-0.0015403362,-0.0046225857,0.0604418199,0.0404555525,0.0264845737,0.0118037431,-0.0046493388,-0.0188371709
2015-01-15,0.0069771261,0.0024441285,-0.0032148444,0.0008839465,-0.0031873597,-0.0055126975,0.0598630373,0.0409015447,0.0265699776,0.0123312030,-0.0045187422,-0.0181218151
2015-01-16,0.0038811786,0.0041644290,0.0074992704,-0.0001409667,-0.0018875946,0.0028716260,0.0590448335,0.0412949820,0.0265197681,0.0133226588,-0.0045627232,-0.0185526909
2015-01-19,0.0075228779,-0.0009014981,0.0022722483,-0.0088661842,0.0002038025,0.0000734575,0.0585930613,0.0410315050,0.0265511364,0.0141168790,-0.0038826084,-0.0183325204
2015-01-20,-0.0013533754,-0.0027691219,-0.0045635714,0.0016672121,0.0006432137,0.0022429650,0.0586361466,0.0408462543,0.0260732511,0.0145913316,-0.0043833780,-0.0176510035
2015-01-21,0.0036493595,0.0067864577,-0.0001473002,0.0019746686,0.0004601236,-0.0097784164,0.0584059428,0.0409651987,0.0255022242,0.0145612713,-0.0040449235,-0.0180123170
2015-01-22,-0.0077996181,-0.0007797202,0.0017450810,0.0045541917,-0.0081988356,-0.0027261124,0.0589137217,0.0410114413,0.0248330774,0.0149294207,-0.0036685575,-0.0180799724
2015-01-23,-0.0031290481,-0.0009888170,0.0021506431,0.0031144506,-0.0028448074,-0.0005540056,0.0593407712,0.0412372327,0.0256566985,0.0156589996,-0.0040773891,-0.0174465551
2015-01-26,0.0096047150,-0.0032782178,0.0042507806,-0.0081233046,0.0034644232,-0.0036461313,0.0596920919,0.0420675322,0.0262435450,0.0155063963,-0.0038825731,-0.0173920894
2015-01-27,0.0000866201,0.0002594636,-0.0080688245,0.0042605708,0.0010752862,-0.0050484096,0.0602638819,0.0423537059,0.0264344508,0.0157709824,-0.0040898213,-0.0169286063
2015-01-28,-0.0002637454,-0.0002637303,0.0004925981,-0.0101189023,-0.0024532014,-0.0021832288,0.0608108258,0.0421444190,0.0272130760,0.0153511580,-0.0040657870,-0.0173010104
2015-01-29,-0.0032359951,0.0029502315,0.0020519425,0.0041120481,-0.0054812837,0.0033337864,0.0604800235,0.0422863114,0.0275682356,0.0151941478,-0.0036519467,-0.0168317283
2015-01-30,0.0001748914,-0.0036240563,0.0067647791,-0.0057288338,-0.0012555278,-0.0014246243,0.0608480617,0.0419125414,0.0275186279,0.0149900269,-0.0027476556,-0.0170734068
2015-02-02,0.0028544769,-0.0065010275,0.0030846087,-0.0004675938,0.0026001013,-0.0010093972,0.0605078358,0.0419875034,0.0271559018,0.0156341745,-0.0034739648,-0.0171427221
2015-02-03,0.0022900449,-0.0031623057,-0.0039432628,-0.0016532656,0.0057045433,0.0027178919,0.0607201080,0.0415868503,0.0268787132,0.0152945679,-0.0035985668,-0.0170201394
2015-02-04,-0.0043541626,0.0044981248,0.0040684761,-0.0038543048,0.0030811468,0.0011141275,0.0610026619,0.0413099242,0.0269057350,0.0155291428,-0.0030887332,-0.0171077753
2015-02-05,0.0036301398,-0.0037582852,0.0051659108,-0.0018882202,-0.0016009771,0.0089544924,0.0604642620,0.0414371172,0.0269660915,0.0151206552,-0.0027714534,-0.0165584590
2015-02-06,0.0058865265,0.0060615450,0.0018409917,0.0034308297,-0.0008062795,-0.0023181980,0.0605951712,0.0414685027,0.0262065627,0.0143856504,-0.0032884458,-0.0158978476
2015-02-09,0.0029952376,0.0002482694,0.0043896753,0.0046029254,-0.0046093611,0.0006263582,0.0612868945,0.0415571972,0.0259745651,0.0139769009,-0.0036450349,-0.0161780606
2015-02-10,-0.0019542804,-0.0049370416,-0.0064325872,0.0027397419,-0.0014202791,-0.0030321675,0.0610953649,0.0421725191,0.0260657746,0.0132728790,-0.0037577889,-0.0161902279
2015-02-11,-0.0020471706,0.0024024369,0.0002586464,-0.0033779134,-0.0094270091,-0.0056419331,0.0609589286,0.0417626490,0.0265225308,0.0129772523,-0.0041981881,-0.0160634857
2015-02-12,0.0034891052,0.0059606607,0.0060016933,-0.0016395805,0.0005317135,-0.0029319712,0.0610640826,0.0413205311,0.0276331443,0.0135892455,-0.0045512462,-0.0155856617
2015-02-13,-0.0005479891,-0.0015937263,0.0032092670,-0.0044130756,-0.0006024097,0.0006645245,0.0612148969,0.0407267973,0.0268095438,0.0129795798,-0.0041471394,-0.0152553771
2015-02-16,0.0042866319,0.0057866719,-0.0008584003,0.0031646910,0.0036186994,0.0039326675,0.0621990234,0.0408538017,0.0262850550,0.0133198576,-0.0043265347,-0.0155052404
2015-02-17,0.0009648576,0.0059860453,-0.0011249256,0.0027503860,-0.0071496323,-0.0044648525,0.0627825697,0.0411306308,0.0266842413,0.0134257068,-0.0039418901,-0.0156232689
2015-02-18,-0.0015707746,-0.0031301304,-0.0072686603,-0.0044643096,0.0006337812,-0.0001005909,0.0629595971,0.0416214197,0.0266171363,0.0129725421,-0.0032883099,-0.0156951296
2015-02-19,-0.0057165939,-0.0021023844,0.0020029916,-0.0049062591,-0.0036237017,-0.0094809297,0.0628452302,0.0413755113,0.0259850474,0.0134163595,-0.0041311895,-0.0158962074
2015-02-20,-0.0037064396,-0.0063182081,-0.0067661166,-0.0032140188,0.0038531359,0.0064836345,0.0623791133,0.0410189521,0.0266530825,0.0131038242,-0.0039850977,-0.0159689821
2015-02-23,0.0064643891,0.0055717882,0.0001091235,-0.0019560861,0.0029327032,0.0009186530,0.0621477289,0.0414558834,0.0261028767,0.0134214577,-0.0036776172,-0.0155009094
