date,ret
2015-01-02,0.0019940075
2015-01-05,-0.0041984362
2015-01-06,0.0026094258
2015-01-07,-0.0051337741
2015-01-08,0.0067464449
2015-01-09,0.0035192533
2015-01-12,-0.0014760660
2015-01-13,0.0000695504
2015-01-14,0.0089385489
2015-01-15,-0.0022616417
2015-01-16,-0.0110768929
2015-01-19,0.0013951026
2015-01-20,0.0029814172
2015-01-21,0.0009116415
2015-01-22,-0.0003336656
2015-01-23,0.0086539870
2015-01-26,0.0005300877
2015-01-27,-0.0048129510
2015-01-28,-0.0100929980
2015-01-29,-0.0004128680
2015-01-30,-0.0034749411
2015-02-02,-0.0058173802
2015-02-03,-0.0100133205
2015-02-04,-0.0062882983
2015-02-05,-0.0093663691
2015-02-06,-0.0002039258
2015-02-09,-0.0124125195
2015-02-10,0.0018862738
2015-02-11,0.0055620730
2015-02-12,0.0089793104
2015-02-13,-0.0031744958
2015-02-16,0.0023807632
2015-02-17,-0.0031241773
2015-02-18,0.0015336066
2015-02-19,-0.0012754835
2015-02-20,0.0132868701
2015-02-23,0.0067463543
2015-02-24,0.0070553027
2015-02-25,0.0005708859
2015-02-26,-0.0054326381
2015-02-27,-0.0071161646
2015-03-02,0.0032156838
2015-03-03,-0.0018435846
2015-03-04,-0.0046334711
2015-03-05,-0.0039663137
2015-03-06,0.0001057339
2015-03-09,-0.0115911590
2015-03-10,-0.0003477433
2015-03-11,-0.0066838557
2015-03-12,0.0014268903
2015-03-13,0.0012382730
2015-03-16,0.0047204745
2015-03-17,-0.0001452525
2015-03-18,-0.0105880375
2015-03-19,0.0076627148
2015-03-20,0.0014987619
2015-03-23,-0.0056837113
2015-03-24,0.0028393994
2015-03-25,-0.0048882386
2015-03-26,0.0074489404
2015-03-27,0.0138375028
2015-03-30,-0.0036296557
2015-03-31,-0.0062073924
2015-04-01,0.0000718464
2015-04-02,0.0045857646
2015-04-03,0.0117582791
2015-04-06,-0.0001522474
2015-04-07,-0.0007103532
2015-04-08,0.0017962341
2015-04-09,0.0017512119
2015-04-10,0.0042254329
2015-04-13,-0.0045475547
2015-04-14,0.0006833315
2015-04-15,0.0037536670
2015-04-16,-0.0025057103
2015-04-17,0.0008561835
2015-04-20,0.0023018265
2015-04-21,0.0036498333
2015-04-22,0.0066432330
2015-04-23,-0.0010802469
2015-04-24,0.0037010712
2015-04-27,-0.0004721562
2015-04-28,-0.0022100466
2015-04-29,0.0036551378
2015-04-30,-0.0044266766
2015-05-01,0.0086359086
2015-05-04,0.0042089673
2015-05-05,-0.0055392405
2015-05-06,0.0049587829
2015-05-07,-0.0080636506
2015-05-08,0.0137339220
2015-05-11,0.0031046433
2015-05-12,-0.0001654895
2015-05-13,0.0122495809
2015-05-14,0.0106695343
2015-05-15,-0.0080062825
2015-05-18,0.0011873891
2015-05-19,0.0038647130
2015-05-20,0.0018446134
2015-05-21,-0.0043708414
2015-05-22,0.0002422953
2015-05-25,-0.0016434186
2015-05-26,0.0072945460
2015-05-27,-0.0034772956
2015-05-28,-0.0002910324
2015-05-29,0.0016965894
2015-06-01,-0.0002310105
2015-06-02,-0.0025095500
2015-06-03,-0.0027908096
2015-06-04,-0.0056688600
2015-06-05,-0.0030965549
2015-06-08,-0.0021025560
2015-06-09,-0.0023137156
2015-06-10,0.0038540386
2015-06-11,-0.0019007762
2015-06-12,-0.0020679403
2015-06-15,-0.0062620116
2015-06-16,0.0072779862
2015-06-17,-0.0027045739
2015-06-18,0.0040465108
2015-06-19,-0.0060198439
2015-06-22,-0.0010145363
2015-06-23,-0.0056575197
2015-06-24,0.0010360223
2015-06-25,0.0007527880
2015-06-26,-0.0026192032
2015-06-29,0.0032885184
2015-06-30,-0.0016998453
2015-07-01,-0.0099169275
2015-07-02,0.0075324497
2015-07-03,-0.0012311650
2015-07-06,-0.0116394054
2015-07-07,0.0104234390
2015-07-08,0.0128744254
2015-07-09,0.0042305124
2015-07-10,0.0065408823
2015-07-13,-0.0022104932
2015-07-14,0.0031474795
2015-07-15,0.0045086699
2015-07-16,0.0030258040
2015-07-17,0.0075077685
2015-07-20,0.0005956136
2015-07-21,0.0048245535
2015-07-22,0.0072897766
2015-07-23,0.0040230862
2015-07-24,-0.0002624643
2015-07-27,0.0027848132
2015-07-28,-0.0010270880
2015-07-29,0.0043440829
2015-07-30,0.0020686069
2015-07-31,-0.0074614510
2015-08-03,-0.0035256824
2015-08-04,-0.0001283522
2015-08-05,0.0009808690
2015-08-06,0.0032726440
2015-08-07,-0.0023657683
2015-08-10,-0.0040594645
2015-08-11,0.0033832345
2015-08-12,-0.0060519377
2015-08-13,0.0001237139
2015-08-14,-0.0042011735
2015-08-17,0.0081303904
2015-08-18,-0.0030798563
2015-08-19,-0.0004138103
2015-08-20,-0.0091112574
2015-08-21,0.0065520051
2015-08-24,-0.0035284713
2015-08-25,0.0058332859
2015-08-26,0.0049627646
2015-08-27,0.0023308130
2015-08-28,0.0054251674
2015-08-31,-0.0012452613
2015-09-01,0.0020837340
2015-09-02,-0.0049379042
2015-09-03,0.0036322067
2015-09-04,-0.0021216773
2015-09-07,-0.0011288334
2015-09-08,-0.0059897649
2015-09-09,0.0025298942
2015-09-10,0.0004015095
2015-09-11,-0.0101705604
2015-09-14,-0.0035110644
2015-09-15,-0.0026677183
2015-09-16,0.0138294634
2015-09-17,-0.0028706136
2015-09-18,-0.0022302299
2015-09-21,-0.0074851974
2015-09-22,0.0091808670
2015-09-23,0.0063466210
2015-09-24,-0.0016222688
2015-09-25,-0.0021771327
2015-09-28,0.0027562400
2015-09-29,-0.0011975004
2015-09-30,-0.0050945610
2015-10-01,0.0069747923
2015-10-02,0.0034913406
2015-10-05,-0.0042308198
2015-10-06,-0.0110189760
2015-10-07,0.0040495861
2015-10-08,0.0050686565
2015-10-09,-0.0041121276
2015-10-12,0.0017321345
2015-10-13,0.0008379767
2015-10-14,-0.0025142003
2015-10-15,0.0009423661
2015-10-16,-0.0036173007
2015-10-19,0.0100679175
2015-10-20,-0.0068367396
2015-10-21,-0.0012664961
2015-10-22,-0.0010820783
2015-10-23,0.0021952551
2015-10-26,0.0004471321
2015-10-27,-0.0012767145
2015-10-28,-0.0048991163
2015-10-29,0.0035527358
2015-10-30,-0.0004087559
2015-11-02,-0.0050176824
2015-11-03,-0.0059879228
2015-11-04,0.0002405162
2015-11-05,-0.0013558914
2015-11-06,-0.0038357423
2015-11-09,0.0018575495
2015-11-10,0.0150041262
2015-11-11,0.0061038072
2015-11-12,-0.0035555082
2015-11-13,0.0110782272
2015-11-16,-0.0029962401
2015-11-17,-0.0035642500
2015-11-18,0.0025858357
2015-11-19,-0.0047215696
2015-11-20,-0.0007155392
2015-11-23,0.0085353894
2015-11-24,0.0079307883
2015-11-25,-0.0065829841
2015-11-26,-0.0002343538
2015-11-27,0.0066857703
2015-11-30,-0.0056444519
2015-12-01,-0.0008059274
2015-12-02,0.0089847421
2015-12-03,-0.0017085868
2015-12-04,0.0061285300
2015-12-07,0.0024030665
2015-12-08,-0.0001308314
2015-12-09,0.0011450240
2015-12-10,-0.0011683521
2015-12-11,0.0028520927
2015-12-14,0.0099446948
2015-12-15,0.0090517226
2015-12-16,0.0023042156
2015-12-17,0.0052770349
2015-12-18,0.0085617445
2015-12-21,0.0068947281
2015-12-22,-0.0076678009
2015-12-23,-0.0011548772
2015-12-24,-0.0045716293
2015-12-25,0.0061017868
2015-12-28,-0.0045541175
2015-12-29,0.0034003735
2015-12-30,-0.0046031758
2015-12-31,0.0085515926
2016-01-01,0.0066365865
2016-01-04,0.0036473551
2016-01-05,0.0001071710
2016-01-06,0.0042363793
2016-01-07,-0.0004875960
2016-01-08,-0.0014503464
2016-01-11,-0.0025407809
2016-01-12,-0.0013099819
2016-01-13,-0.0014804934
2016-01-14,-0.0003260314
2016-01-15,0.0041152586
2016-01-18,0.0032084221
2016-01-19,-0.0126396746
2016-01-20,0.0058427635
2016-01-21,0.0010008437
2016-01-22,0.0050913641
2016-01-25,0.0003358747
2016-01-26,-0.0048011174
2016-01-27,-0.0009076031
2016-01-28,-0.0035530576
2016-01-29,0.0091906133
2016-02-01,-0.0081650697
2016-02-02,0.0025437360
2016-02-03,0.0079557325
2016-02-04,-0.0100103499
2016-02-05,0.0032887913
2016-02-08,0.0034826275
2016-02-09,0.0049647233
2016-02-10,-0.0014187337
2016-02-11,-0.0031881409
2016-02-12,-0.0088131205
2016-02-15,0.0100127800
