date,asset_0,asset_1,asset_2,asset_3,asset_4,asset_5
2015-01-02,-0.0108988131,0.0016626635,-0.0008443842,0.0042914389,0.0086789501,-0.0016906130
2015-01-05,0.0102989839,0.0074182123,-0.0196750113,-0.0031563044,-0.0051426116,-0.0057625763
2015-01-06,0.0101701758,-0.0123344614,0.0057560667,-0.0104772280,-0.0145846164,0.0079966607
2015-01-07,-0.0046108889,-0.0047029571,0.0047503676,0.0039365775,-0.0069309863,0.0022899540
2015-01-08,0.0062621919,0.0080623900,-0.0112983987,-0.0015196099,-0.0008432467,0.0010066768
2015-01-09,-0.0030114566,0.0050872040,0.0006683516,0.0238241202,-0.0122252652,0.0097683700
2015-01-12,-0.0100174438,-0.0045579697,-0.0128717933,0.0061805903,0.0118396108,0.0011136706
2015-01-13,-0.0023107689,-0.0160284806,-0.0036798440,-0.0106790447,-0.0028874758,0.0135087044
2015-01-14,0.0020612210,-0.0017586216,0.0021375025,0.0103299686,0.0024820623,-0.0008794117
2015-01-15,-0.0004579163,-0.0006536587,-0.0113815756,0.0032454285,0.0053021401,-0.0027033664
2015-01-16,-0.0056608730,-0.0033881421,-0.0063150975,0.0032621789,-0.0152692039,-0.0041099428
2015-01-19,0.0008269632,0.0051636307,-0.0026933464,-0.0040136540,0.0001019692,-0.0037450402
2015-01-20,0.0089596921,0.0019415076,-0.0011194814,-0.0053337350,0.0007755652,0.0047981527
2015-01-21,-0.0125666952,-0.0148610297,0.0039249981,0.0073406754,0.0014705187,0.0221358131
2015-01-22,0.0097073341,-0.0056941485,-0.0063845210,-0.0016588612,0.0047820197,-0.0178640874
2015-01-23,-0.0002218558,-0.0068801755,0.0036789429,0.0150995635,0.0059591471,0.0148262504
2015-01-26,0.0125908920,0.0049641553,0.0006212842,-0.0109061201,0.0057471775,0.0037725540
2015-01-27,-0.0151170343,-0.0113923474,-0.0024967376,-0.0013650369,-0.0124651267,0.0032789720
2015-01-28,0.0028376654,0.0227040702,0.0198911941,-0.0042639146,-0.0055809866,0.0059811467
2015-01-29,0.0004807490,-0.0009971224,0.0102892589,-0.0048835428,-0.0076933714,0.0017696754
2015-01-30,-0.0222718912,0.0008485887,0.0037315902,0.0191660377,0.0019772560,0.0116176694
2015-02-02,-0.0034341771,-0.0104571876,-0.0006891353,-0.0112061965,-0.0015282976,0.0007269978
2015-02-03,-0.0073572987,0.0025832361,-0.0142662696,-0.0107875010,-0.0022120726,0.0148088341
2015-02-04,0.0058336804,-0.0068412749,-0.0034277860,0.0026475265,-0.0157783690,-0.0073947571
2015-02-05,-0.0103391508,0.0137523461,-0.0241419193,-0.0052062466,-0.0042676263,0.0015363474
2015-02-06,0.0011224500,0.0061994362,0.0096014446,-0.0142294608,-0.0114165855,0.0157947204
2015-02-09,0.0024789497,-0.0029963596,-0.0166412594,-0.0113160598,-0.0184610972,-0.0058704747
2015-02-10,0.0182175903,0.0068086779,0.0101128261,0.0078486913,-0.0084734298,0.0039714734
2015-02-11,0.0081770549,0.0091425728,0.0094591773,0.0011781755,-0.0059507380,0.0191513877
2015-02-12,0.0061595588,-0.0133274170,0.0076950223,0.0113722145,0.0164397066,0.0026945838
2015-02-13,0.0111346134,0.0039488524,-0.0047728155,-0.0017274323,-0.0005096096,-0.0038283025
2015-02-16,0.0019311073,-0.0004765340,-0.0017220192,-0.0016786389,0.0024516747,0.0190137616
2015-02-17,0.0028393581,-0.0204278698,0.0088872600,0.0068641040,0.0045480074,-0.0039835275
2015-02-18,-0.0068915905,0.0047676772,0.0015153831,0.0048798489,-0.0140176547,0.0121288516
2015-02-19,0.0018148505,-0.0127081615,0.0060343984,-0.0003945520,-0.0053725183,0.0179015715
2015-02-20,0.0039603174,0.0008414982,0.0209527278,0.0061212391,0.0232669584,0.0098917007
2015-02-23,0.0115697611,-0.0104025897,0.0012638674,0.0141359060,0.0085355741,-0.0136065121
